close,epoch,high,low,open
1.07651,1702281600,1.07708,1.07515,1.07558
1.07671,1702285200,1.0768,1.07575,1.07652
1.07739,1702288800,1.0779,1.07667,1.07669
1.07683,1702292400,1.07777,1.07636,1.07737
1.07611,1702296000,1.07704,1.07555,1.07683
1.07637,1702299600,1.07668,1.07526,1.07611
1.07532,1702303200,1.07638,1.07441,1.07637
1.07441,1702306800,1.07601,1.07418,1.07532
1.07463,1702310400,1.07497,1.07417,1.07443
1.07442,1702314000,1.07551,1.07434,1.07461
1.07637,1702317600,1.07652,1.07427,1.07442
1.07613,1702321200,1.07697,1.07609,1.07636
1.07648,1702324800,1.07652,1.07606,1.07614
1.0765,1702328400,1.07653,1.07637,1.07649
1.07642,1702332000,1.07654,1.07588,1.07647
1.07653,1702335600,1.07656,1.07635,1.07641
1.07649,1702339200,1.07662,1.07635,1.07654
1.07649,1702342800,1.07696,1.07642,1.0765
1.07619,1702346400,1.07705,1.07617,1.07649
1.07684,1702350000,1.07693,1.07613,1.07619
1.07654,1702353600,1.07695,1.07642,1.07682
1.07692,1702357200,1.0771,1.07651,1.07654
1.07794,1702360800,1.078,1.07686,1.07691
1.07779,1702364400,1.07833,1.07742,1.07794
1.07852,1702368000,1.07921,1.07732,1.07781
1.07937,1702371600,1.07978,1.07806,1.07853
1.0801,1702375200,1.08073,1.07928,1.07935
1.07963,1702378800,1.08018,1.07922,1.08012
1.07983,1702382400,1.0806,1.07958,1.07964
1.07769,1702386000,1.08268,1.0774,1.07983
1.07739,1702389600,1.08003,1.07673,1.07768
1.07842,1702393200,1.07899,1.07695,1.07742
1.07885,1702396800,1.07933,1.07812,1.07843
1.07882,1702400400,1.07958,1.07841,1.07889
1.07932,1702404000,1.07987,1.07869,1.07882
1.07903,1702407600,1.07939,1.07876,1.07933
1.07973,1702411200,1.07986,1.07893,1.07904
1.07945,1702414800,1.07994,1.0794,1.07974
1.07965,1702418400,1.07978,1.07929,1.07945
1.07984,1702422000,1.07994,1.07954,1.07962
1.07939,1702425600,1.07999,1.07914,1.07984
1.07936,1702429200,1.07961,1.07914,1.0794
1.07876,1702432800,1.07941,1.07842,1.07935
1.07875,1702436400,1.07886,1.07847,1.07876
1.07864,1702440000,1.07899,1.07858,1.07871
1.07901,1702443600,1.07913,1.07863,1.07865
1.07839,1702447200,1.07922,1.07812,1.07901
1.07852,1702450800,1.07889,1.07804,1.0784
1.07895,1702454400,1.07928,1.07829,1.07852
1.07875,1702458000,1.07919,1.07808,1.07896
1.0778,1702461600,1.07877,1.07732,1.07877
1.07838,1702465200,1.0785,1.07738,1.07779
1.07819,1702468800,1.07898,1.07812,1.07837
1.08005,1702472400,1.08037,1.07819,1.07819
1.07914,1702476000,1.08093,1.07829,1.08008
1.07946,1702479600,1.07959,1.07845,1.07911
1.07915,1702483200,1.07969,1.07858,1.07946
1.07846,1702486800,1.07939,1.07832,1.0792
1.07868,1702490400,1.07899,1.07801,1.07843
1.0888,1702494000,1.08913,1.07863,1.07864
